loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
798,38061.0,35033,Toulon,Toulon
799,33372.0,37458,Bouffémont,Bouffémont
800,33372.0,37458,Bouffémont,Bouffémont
804,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
806,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
810,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
813,33442.0,37527,Louvres,Louvres
816,33442.0,37527,Louvres,Louvres
817,33442.0,37527,Louvres,Louvres
819,33443.0,37528,Luzarches,Luzarches
822,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
823,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
826,33442.0,37527,Louvres,Louvres
828,33519.0,37604,Viarmes,Viarmes
829,33519.0,37604,Viarmes,Viarmes
831,33442.0,37527,Louvres,Louvres
833,33423.0,37508,Goussainville,Goussainville
834,33423.0,37508,Goussainville,Goussainville
836,33449.0,37534,Marly-la-Ville,Marly-la-Ville
837,33482.0,37567,Plessis-Luzarches,Plessis-Luzarches
838,33449.0,37534,Marly-la-Ville,Marly-la-Ville
839,33449.0,37534,Marly-la-Ville,Marly-la-Ville
841,33449.0,37534,Marly-la-Ville,Marly-la-Ville
842,33449.0,37534,Marly-la-Ville,Marly-la-Ville
847,33228.0,37312,Bourg-la-Reine,Bourg-la-Reine
849,22115.0,24988,Senlis,Senlis
852,33456.0,37541,Moisselles,Moisselles
856,33443.0,37528,Luzarches,Luzarches
859,21876.0,24728,Lamorlaye,Lamorlaye
861,33386.0,37472,Chaumontel,Chaumontel
862,33386.0,37472,Chaumontel,Chaumontel
864,36655.0,37671,Sainte-Anne,Sainte-Anne
866,33442.0,37527,Louvres,Louvres
868,33519.0,37604,Viarmes,Viarmes
869,33519.0,37604,Viarmes,Viarmes
870,33442.0,37527,Louvres,Louvres
871,33442.0,37527,Louvres,Louvres
872,33442.0,37527,Louvres,Louvres
875,33460.0,37545,Montmagny,Montmagny
877,33503.0,37588,Sarcelles,Sarcelles
879,22115.0,24988,Senlis,Senlis
880,22115.0,24988,Senlis,Senlis
883,22022.0,24887,Pont-Sainte-Maxence,Pont-Sainte-Maxence
884,33485.0,37570,Puiseux-en-France,Puiseux-en-France
888,33485.0,37570,Puiseux-en-France,Puiseux-en-France
891,33423.0,37508,Goussainville,Goussainville
893,33442.0,37527,Louvres,Louvres
894,33523.0,37608,Villeron,Villeron
895,33523.0,37608,Villeron,Villeron
899,33423.0,37508,Goussainville,Goussainville
901,33423.0,37508,Goussainville,Goussainville
905,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
906,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
907,29560.0,33208,Vélizy-Villacoublay,Vélizy-Villacoublay
908,29560.0,33208,Vélizy-Villacoublay,Vélizy-Villacoublay
909,29352.0,32987,Bois-d'Arcy,Bois-d'Arcy
910,33389.0,37475,Chennevières-lès-Louvres,Chennevières-lès-Louvres
914,33523.0,37608,Villeron,Villeron
918,33443.0,37528,Luzarches,Luzarches
919,33443.0,37528,Luzarches,Luzarches
921,33363.0,37449,Belloy-en-France,Belloy-en-France
922,33363.0,37449,Belloy-en-France,Belloy-en-France
924,33442.0,37527,Louvres,Louvres
929,33505.0,37590,Seugy,Seugy
931,33386.0,37472,Chaumontel,Chaumontel
932,33443.0,37528,Luzarches,Luzarches
934,33443.0,37528,Luzarches,Luzarches
945,33386.0,37472,Chaumontel,Chaumontel
946,33386.0,37472,Chaumontel,Chaumontel
950,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
954,33386.0,37472,Chaumontel,Chaumontel
955,33443.0,37528,Luzarches,Luzarches
957,33386.0,37472,Chaumontel,Chaumontel
960,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
962,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
964,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
966,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
967,33507.0,37592,Survilliers,Survilliers
969,33507.0,37592,Survilliers,Survilliers
971,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
972,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
977,33523.0,37608,Villeron,Villeron
981,33443.0,37528,Luzarches,Luzarches
985,33485.0,37570,Puiseux-en-France,Puiseux-en-France
994,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
993,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
996,37560.0,31671,Paris 12,Paris 12e Arrondissement
1001,33519.0,37604,Viarmes,Viarmes
1003,33519.0,37604,Viarmes,Viarmes
1004,33269.0,37354,Dugny,Dugny
1005,33517.0,37602,Vémars,Vémars
1006,33517.0,37602,Vémars,Vémars
1013,33435.0,37520,Isle-Adam,Isle-Adam
1018,33488.0,37573,Roissy-en-France,Roissy-en-France
1019,33442.0,37527,Louvres,Louvres
1020,33442.0,37527,Louvres,Louvres
1021,33442.0,37527,Louvres,Louvres
1022,33423.0,37508,Goussainville,Goussainville
1023,33423.0,37508,Goussainville,Goussainville
1028,33523.0,37608,Villeron,Villeron
1029,33511.0,37596,Thillay,Thillay
1030,33511.0,37596,Thillay,Thillay
1031,33511.0,37596,Thillay,Thillay
1035,33517.0,37602,Vémars,Vémars
1036,33517.0,37602,Vémars,Vémars
1038,33443.0,37528,Luzarches,Luzarches
1039,33443.0,37528,Luzarches,Luzarches
1041,33443.0,37528,Luzarches,Luzarches
1042,33399.0,37485,Domont,Domont
1044,33399.0,37485,Domont,Domont
1045,33423.0,37508,Goussainville,Goussainville
1046,33423.0,37508,Goussainville,Goussainville
1047,33511.0,37596,Thillay,Thillay
1051,33483.0,37568,Pontoise,Pontoise
1052,33503.0,37588,Sarcelles,Sarcelles
1054,33269.0,37354,Dugny,Dugny
1056,33505.0,37590,Seugy,Seugy
1058,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1070,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1074,21682.0,24519,Chambly,Chambly
1075,21682.0,24519,Chambly,Chambly
1076,33231.0,37315,Chaville,Chaville
1077,29441.0,33083,Jouars-Pontchartrain,Jouars-Pontchartrain
1078,33231.0,37315,Chaville,Chaville
1079,21920.0,24775,Méru,Méru
1081,21920.0,24775,Méru,Méru
1084,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1086,33250.0,37335,Saint-Cloud,Saint-Cloud
1089,33484.0,37569,Presles,Presles
1092,33470.0,37555,Nointel,Nointel
1097,33399.0,37485,Domont,Domont
1099,33399.0,37485,Domont,Domont
1103,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1105,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1108,33505.0,37590,Seugy,Seugy
1110,22095.0,24964,Saint-Martin-le-Noeud,Saint-Martin-le-Nœud
1111,22095.0,24964,Saint-Martin-le-Noeud,Saint-Martin-le-Nœud
1112,22095.0,24964,Saint-Martin-le-Noeud,Saint-Martin-le-Nœud
1113,22095.0,24964,Saint-Martin-le-Noeud,Saint-Martin-le-Nœud
1117,33455.0,37540,Mesnil-Aubry,Mesnil-Aubry
1120,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1121,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1122,37569.0,31675,Paris 16,Paris 16e Arrondissement
1123,29564.0,33212,Versailles,Versailles
1124,29564.0,33212,Versailles,Versailles
1125,29564.0,33212,Versailles,Versailles
1130,33519.0,37604,Viarmes,Viarmes
1132,33443.0,37528,Luzarches,Luzarches
1133,33443.0,37528,Luzarches,Luzarches
1134,29564.0,33212,Versailles,Versailles
1135,29564.0,33212,Versailles,Versailles
1139,33422.0,37507,Gonesse,Gonesse
1140,33422.0,37507,Gonesse,Gonesse
1143,33363.0,37449,Belloy-en-France,Belloy-en-France
1147,33354.0,37440,Attainville,Attainville
1149,21711.0,24552,Coye-la-Forêt,Coye-la-Forêt
1150,21711.0,24552,Coye-la-Forêt,Coye-la-Forêt
1155,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1158,33523.0,37608,Villeron,Villeron
1161,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1167,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1169,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1171,33497.0,37582,Saint-Martin-du-Tertre,Saint-Martin-du-Tertre
1173,33497.0,37582,Saint-Martin-du-Tertre,Saint-Martin-du-Tertre
1178,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1182,33362.0,37448,Bellefontaine,Bellefontaine
1183,33362.0,37448,Bellefontaine,Bellefontaine
1184,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
1186,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
1187,33443.0,37528,Luzarches,Luzarches
1189,22115.0,24988,Senlis,Senlis
1194,33422.0,37507,Gonesse,Gonesse
1195,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
1196,36583.0,31665,Paris 6e arrondissement,Paris 6e Arrondissement
1197,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
1200,33401.0,37487,Ecouen,Écouen
1204,33423.0,37508,Goussainville,Goussainville
1209,23887.0,26899,Saint-Saturnin,Saint-Saturnin
1210,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1212,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
1215,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
1217,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1218,36590.0,31672,Paris 13e arrondissement,Paris 13e Arrondissement
1220,37561.0,31672,Paris 13,Paris 13e Arrondissement
1223,33250.0,37335,Saint-Cloud,Saint-Cloud
1225,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
1227,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
1228,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
1229,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
1231,36597.0,31679,Paris 20e arrondissement,Paris 20e Arrondissement
1232,33523.0,37608,Villeron,Villeron
1241,33519.0,37604,Viarmes,Viarmes
1242,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
1244,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
1246,29564.0,33212,Versailles,Versailles
1249,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
1251,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1253,36584.0,31666,Paris 7e arrondissement,Paris 7e Arrondissement
1254,36584.0,31666,Paris 7e arrondissement,Paris 7e Arrondissement
1255,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1258,29564.0,33212,Versailles,Versailles
1259,29564.0,33212,Versailles,Versailles
1267,33245.0,37330,Nanterre,Nanterre
1271,33245.0,37330,Nanterre,Nanterre
1276,33442.0,37527,Louvres,Louvres
1278,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1280,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
1281,36584.0,31666,Paris 7e arrondissement,Paris 7e Arrondissement
1286,33523.0,37608,Villeron,Villeron
1287,33442.0,37527,Louvres,Louvres
1289,33442.0,37527,Louvres,Louvres
1293,6643.0,7344,Dijon,Dijon
1294,6643.0,7344,Dijon,Dijon
1295,6643.0,7344,Dijon,Dijon
1296,6643.0,7344,Dijon,Dijon
1297,33442.0,37527,Louvres,Louvres
1298,33442.0,37527,Louvres,Louvres
1302,37554.0,31665,Paris 06,Paris 6e Arrondissement
1309,29463.0,33106,Marly-le-Roi,Marly-le-Roi
1316,33442.0,37527,Louvres,Louvres
1317,21559.0,24388,Amblainville,Amblainville
1318,21559.0,24388,Amblainville,Amblainville
1320,29562.0,33210,Vernouillet,Vernouillet
1321,29562.0,33210,Vernouillet,Vernouillet
1323,21559.0,24388,Amblainville,Amblainville
1324,37554.0,31665,Paris 06,Paris 6e Arrondissement
1332,33449.0,37534,Marly-la-Ville,Marly-la-Ville
1333,33256.0,37341,Ville-d'Avray,Ville-d'Avray
1334,33250.0,37335,Saint-Cloud,Saint-Cloud
1340,29369.0,33005,Carrières-sur-Seine,Carrières-sur-Seine
1342,6643.0,7344,Dijon,Dijon
1344,21559.0,24388,Amblainville,Amblainville
1346,29530.0,33177,Saint-Germain-en-Laye,Saint-Germain-en-Laye
1348,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1350,29564.0,33212,Versailles,Versailles
1356,33442.0,37527,Louvres,Louvres
1357,33442.0,37527,Louvres,Louvres
1358,33442.0,37527,Louvres,Louvres
1359,37563.0,31674,Paris 15,Paris 15e Arrondissement
1360,36548.0,37319,Courbevoie,Courbevoie
1361,37561.0,31672,Paris 13,Paris 13e Arrondissement
1362,36409.0,37308,Asnières-sur-Seine,Asnières-sur-Seine
1363,33233.0,37317,Clichy,Clichy
1366,33245.0,37330,Nanterre,Nanterre
1368,33250.0,37335,Saint-Cloud,Saint-Cloud
1375,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1381,33442.0,37527,Louvres,Louvres
1384,29136.0,32750,Moussy-le-Neuf,Moussy-le-Neuf
1388,37555.0,31666,Paris 07,Paris 7e Arrondissement
1391,33304.0,37390,Champigny-sur-Marne,Champigny-sur-Marne
1392,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1393,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1394,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1395,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1397,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1400,33442.0,37527,Louvres,Louvres
1402,1902.0,2098,Saint-Laurent-du-Var,Saint-Laurent-du-Var
1405,33442.0,37527,Louvres,Louvres
1411,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1414,33500.0,37585,Saint-Witz,Saint-Witz
1417,33442.0,37527,Louvres,Louvres
1419,36589.0,31671,Paris 12e arrondissement,Paris 12e Arrondissement
1423,33522.0,37607,Villaines-sous-Bois,Villaines-sous-Bois
1428,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1429,33500.0,37585,Saint-Witz,Saint-Witz
1431,29396.0,33035,Ecquevilly,Ecquevilly
1442,33442.0,37527,Louvres,Louvres
1443,33442.0,37527,Louvres,Louvres
1446,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1449,33442.0,37527,Louvres,Louvres
1451,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1452,33485.0,37570,Puiseux-en-France,Puiseux-en-France
1457,33372.0,37458,Bouffémont,Bouffémont
1461,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1468,36580.0,31662,Paris 3e arrondissement,Paris 3e Arrondissement
1471,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1472,10013.0,11115,Vernouillet,Vernouillet
1474,33442.0,37527,Louvres,Louvres
1478,33523.0,37608,Villeron,Villeron
1481,33523.0,37608,Villeron,Villeron
1484,29453.0,33096,Louveciennes,Louveciennes
1492,6583.0,7280,Chenôve,Chenôve
1494,33517.0,37602,Vémars,Vémars
1495,33517.0,37602,Vémars,Vémars
1496,6583.0,7280,Chenôve,Chenôve
1497,7155.0,8030,Hermitage-Lorge,Plœuc-L'Hermitage
1498,36593.0,31675,Paris 16e arrondissement,Paris 16e Arrondissement
1502,33249.0,37334,Rueil-Malmaison,Rueil-Malmaison
1503,37563.0,31674,Paris 15,Paris 15e Arrondissement
1504,37563.0,31674,Paris 15,Paris 15e Arrondissement
1505,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1506,37563.0,31674,Paris 15,Paris 15e Arrondissement
1507,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1508,29530.0,33177,Saint-Germain-en-Laye,Saint-Germain-en-Laye
1509,29377.0,33013,Chatou,Chatou
1510,33098.0,37171,Draveil,Draveil
1511,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1512,33290.0,37375,Saint-Ouen,Saint-Ouen-sur-Seine
1513,33380.0,37466,Cergy,Cergy
1514,37563.0,31674,Paris 15,Paris 15e Arrondissement
1515,37563.0,31674,Paris 15,Paris 15e Arrondissement
1516,37563.0,31674,Paris 15,Paris 15e Arrondissement
1521,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1522,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
1544,33442.0,37527,Louvres,Louvres
1551,29360.0,32995,Bougival,Bougival
1555,37563.0,31674,Paris 15,Paris 15e Arrondissement
1558,33442.0,37527,Louvres,Louvres
1559,33292.0,37377,Stains,Stains
1560,33292.0,37377,Stains,Stains
1561,33292.0,37377,Stains,Stains
1562,33517.0,37602,Vémars,Vémars
1563,33517.0,37602,Vémars,Vémars
1565,33517.0,37602,Vémars,Vémars
1567,33442.0,37527,Louvres,Louvres
1572,33523.0,37608,Villeron,Villeron
